|Food|Grams|Calories|Protein|Fat|Sat.Fat|Fiber|Carbs|Category
262|Wheat meal cereal unrefined|30.0|103.0|4.0|1.0|0.0|0.7|25.0|Breads, cereals, fastfood,grains
263|Wheat, cooked|200.0|275.0|12.0|1.0|0.0|4.4|35.0|Breads, cereals, fastfood,grains
264|Bean soups|250.0|190.0|8.0|5.0|4.0|0.6|30.0|Soups
265|Beef soup|250.0|100.0|6.0|4.0|4.0|0.5|11.0|Soups
266|Bouillon|240.0|24.0|5.0|0.0|0.0|0.0|0.0|Soups
267|chicken soup|250.0|75.0|4.0|2.0|2.0|0.0|10.0|Soups
268|Clam chowder|255.0|85.0|5.0|2.0|8.0|0.5|12.0|Soups
269|Cream soups|255.0|200.0|7.0|12.0|11.0|1.2|18.0|Soups
270|Noodle|250.0|115.0|6.0|4.0|3.0|0.2|13.0|Soups
271|Split-pea soup|250.0|147.0|8.0|3.0|3.0|0.5|25.0|Soups
272|Tomato soup|245.0|175.0|6.0|7.0|6.0|0.5|22.0|Soups
273|Vegetable|250.0|80.0|4.0|2.0|2.0|0.0|14.0|Soups
274|Apple betty|100.0|150.0|1.0|4.0|0.0|0.5|29.0|Desserts, sweets
275|Bread pudding|200.0|374.0|11.0|12.0|11.0|0.2|56.0|Desserts, sweets
276|Cakes|40.0|110.0|3.0|0.0|0.0|0.0|23.0|Desserts, sweets
277|Chocolate fudge|120.0|420.0|5.0|14.0|12.0|0.3|70.0|Desserts, sweets
278|Cupcake|50.0|160.0|3.0|3.0|2.0|0.0|31.0|Desserts, sweets
279|Fruit cake|30.0|105.0|2.0|4.0|3.0|0.2|17.0|Desserts, sweets
280|Gingerbread|55.0|180.0|2.0|7.0|6.0|0.0|28.0|Desserts, sweets
281|Plain, with no icing|55.0|180.0|4.0|5.0|4.0|0.0|31.0|Desserts, sweets
282|Sponge cake|40.0|115.0|3.0|2.0|2.0|0.0|22.0|Desserts, sweets
283|Candy|25.0|104.0|0.0|3.0|3.0|0.0|19.0|Desserts, sweets
284|Chocolate creams|30.0|130.0|0.0|4.0|4.0|0.0|24.0|Desserts, sweets
285|Fudge|90.0|370.0|0.0|12.0|11.0|0.1|80.0|Desserts, sweets
286|Hard candies|28.0|90.0|0.0|0.0|0.0|0.0|28.0|Desserts, sweets
287|Marshmallows|30.0|98.0|1.0|0.0|0.0|0.0|23.0|Desserts, sweets
288|Milk chocolate|56.0|290.0|2.0|6.0|6.0|0.2|44.0|Desserts, sweets
289|Chocolate syrup|40.0|80.0|0.0|0.0|0.0|0.0|22.0|Desserts, sweets
290|Doughnuts|33.0|135.0|2.0|7.0|4.0|0.0|17.0|Desserts, sweets
291|Gelatin, made with water|239.0|155.0|4.0|0.0|0.0|0.0|36.0|Desserts, sweets
292|Honey|42.0|120.0|0.0|0.0|0.0|0.0|30.0|Jams, Jellies
293|Ice cream|300.0|250.0|0.0|0.0|12.0|10.0|0.0|Desserts, sweets
294|Ices|150.0|117.0|0.0|0.0|0.0|0.0|48.0|Desserts, sweets
295|preserves|20.0|55.0|0.0|0.0|0.0|0.0|14.0|Jams, Jellies
296|Jellies|20.0|50.0|0.0|0.0|0.0|0.0|13.0|Jams, Jellies
297|Molasses|20.0|45.0|0.0|0.0|0.0|8.0|11.0|Jams, Jellies
298|Cane Syrup|20.0|50.0|0.0|0.0|0.0|0.0|13.0|Jams, Jellies
